codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
IT-MI0755;Biblioteca dell'Istituto ortopedico Gaetano Pini;Istituto ortopedico Gaetano Pini;Piazza cardinal Ferrari 1;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,5674709;9,1548953;Milano
IT-MI0756;Biblioteca dell'Istituto per la geofisica della litosfera del CNR;Consiglio nazionale delle ricerche.  Istituto per la geofisica della litosfera;Via Ampere 56;NON SPECIFICATA;NON SPECIFICATA;;;45,4840736;9,2264887;Milano
IT-MI0757;Biblioteca dell'Istituto di astrofisica spaziale e fisica cosmica del CNR;Consiglio nazionale delle ricerche - CNR. Istituto di astrofisica spaziale e fisica cosmica. Sezione di Milano;Via Bassini 15;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;False;45,4795742;9,2320401;Milano
IT-MI0758;Biblioteca dell'Istituto sperimentale per la valorizzazione tecnologica dei prodotti agricoli - IVTPA;Ministero delle politiche agricole e forestali;Via Venezian 26;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;45,4743022;9,2341798;Milano
IT-MI0759;Biblioteca dell'Istituto superiore di scienze religiose - ISSR;Istituto superiore di scienze religiose - ISSR di Milano;Corso Venezia 11;Enti ecclesiastici;Specializzata;;True;45,4708482;9,2013416;Milano
IT-MI0760;Biblioteca dell'Ordine dei dottori commercialisti di Milano e Lodi;Ordine dei dottori commercialisti di Milano e Lodi;Corso Europa 11;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4643971;9,1964924;Milano
IT-MI0762;Biblioteca dell'Istituto di biologia e biotecnologia agraria del CNR;Consiglio nazionale delle ricerche - CNR;Via Bassini 15;Aziende ed amministrazioni dello stato ad ordinamento autonomo;NON SPECIFICATA;;;45,4795742;9,2320401;Milano
IT-MI0763;Biblioteca dell'Istituto permanente per lo studio e la diffusione del cinema d'animazione - ISCA;Istituto per lo studio e la diffusione del cinema di animazione - ISCA;Piazza Luigi di Savoia 24;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4858385;9,2073815;Milano
IT-MI0764;Biblioteca dell'Istituto stomatologico italiano;Istituto stomatologico italiano;Via Pace 21;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4576891;9,2034618;Milano
IT-MI0765;Biblioteca d'Ateneo Carlo Bo della Libera università di lingue e comunicazione. Sede di Milano;Libera università di lingue e comunicazione;Via C. Bo 1;Universita' non statali;Istituto di insegnamento superiore;;False;45,4423982;9,1636124;Milano
IT-MI0766;Biblioteca dell'Ospedale militare principale di Milano;Ministero della difesa. Forze armate esercito;Via Saint Bon 7;Presidenza del consiglio dei ministri e ministeri;Specializzata;;;45,4595795;9,1212962;Milano
IT-MI0767;Biblioteca giuridica della Giunta regionale della Lombardia;Regione Lombardia. Presidenza - Direzione Centrale Affari Istituzionali e Legislativo - Unità Organizzativa Legale e Avvocatura;Via F. Filzi 22;Regione;Specializzata;;True;45,4848177;9,2006065;Milano
IT-MI0768;Biblioteca del Centro UNESCO Milano;Centro UNESCO Milano;Via Larga 9;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;;45,4619967;9,1931426;Milano
IT-MI0769;Biblioteca dell'Istituto milanese Martinitt e Stelline;Istituto milanese Martinitt e Stelline;Via Pitteri 56;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Pubblica;;True;45,4744804;9,2482488;Milano
IT-MI0771;Biblioteca dell'Università internazionale della nuova medicina;Società medico-psicologica srl;Corso XXII Marzo 57;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,462283;9,222479;Milano
IT-MI0772;Biblioteca del Centro ricerche e studi  Amplifon;Centro ricerche e studi Amplifon;Via Ripamonti 133;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4378375;9,2003161;Milano
IT-MI0774;Biblioteca della Camera del lavoro - Archivio del lavoro;Camera del lavoro di Milano;Via Breda 56;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,5316995;9,2289861;Milano
IT-MI0776;Biblioteca dell'Unione artigiani della provincia di Milano;;Piazzetta Pattari 4;NON SPECIFICATA;NON SPECIFICATA;;;45,4646896;9,1940605;Milano
IT-MI0778;Biblioteca della Bayer;Bayer spa;Viale Certosa 126;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;;45,4951471;9,1407029;Milano
