,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
11574,IT-PR0148,Biblioteca dell'Istituto di biochimica veterinaria della Facoltà di medicina veterinaria dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di medicina veterinaria. Istituto di biochimica veterinaria,"[44.8157166, 10.3087298]",Via del Taglio,Universita' statali,Istituto di insegnamento superiore,,True
11575,IT-PR0149,Biblioteca dell'Istituto di biologia molecolare della Facoltà di medicina veterinaria dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di medicina veterinaria. Istituto di biologia molecolare,"[44.8157166, 10.3087298]",Via del Taglio,Universita' statali,Istituto di insegnamento superiore,,True
11576,IT-PR0150,Biblioteca dell'Istituto di economia rurale e di zooeconomia della Facoltà di medicina veterinaria dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di medicina veterinaria. Istituto di economia rurale e di zooeconomia,"[44.8186263, 10.3098546]",Via del Taglio 8,Universita' statali,Istituto di insegnamento superiore,,False
11577,IT-PR0151,Biblioteca del Laboratorio di Gestione e Contabilita' Agraria. Facolta' di Agraria. Universita' degli Studi di Parma,,"[44.8157166, 10.3087298]",Via del Taglio,NON SPECIFICATA,NON SPECIFICATA,,
11578,IT-PR0152,"Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio per le province di Parma e Piacenza","Ministero dei beni e delle attività culturali e del turismo. Soprintendenza Archeologia, belle arti e paesaggio per le province di Parma e Piacenza","[44.8057189, 10.3277987]",Via Bodoni 6,"Direzione generale archeologia, belle arti e paesaggio",Specializzata,,True
11579,IT-PR0153,Biblioteca dell'Ordine Costantiniano di S. Giorgio,Ordine Costantiniano di S. Giorgio,"[44.802196, 10.3276443]",Piazzale della Steccata 1,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
11580,IT-PR0154,"Biblioteca della Galleria Nazionale, Complesso monumentale della Pilotta",Ministero dei beni e delle attività culturali e del turismo. Complesso monumentale della Pilotta,"[44.8046885, 10.3264725]",Piazzale della Pilotta 15,Direzione generale Musei,Specializzata,,False
11581,IT-PR0155,Archivio della Chiesa di S. Liborio,,"[44.9296239, 10.380453]",Via Roma,NON SPECIFICATA,NON SPECIFICATA,,
11582,IT-PR0156,Biblioteca comunale Glauco Lombardi,Comune di Colorno,"[44.9300304993587, 10.3755578540367]",Piazza Garibaldi 23,Comune,Pubblica,,False
11583,IT-PR0157,Biblioteca Gavini Cherchi del Liceo ginnasio statale Gian Domenico Romagnosi,"Ministero dell'istruzione, dell'università e della ricerca","[44.7979325, 10.3222933]",Viale Maria Luigia 1,Presidenza del consiglio dei ministri e ministeri,Scolastica,,False
11584,IT-PR0158,Mediateca e museo del Conservatorio Arrigo Boito,"Ministero dell'istruzione, dell'università e della ricerca. Conservatorio Arrigo Boito di Parma","[44.7996437, 10.3248001]",Via del Conservatorio 27/b,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
11585,IT-PR0159,Archivio di Stato di Parma,,"[44.8031947, 10.3196227]",Via M. D'Azeglio 43,NON SPECIFICATA,NON SPECIFICATA,,
11586,IT-PR0160,Biblioteca dell'Ordine costantiniano di S. Giorgio. Archivio della Chiesa della Madonna della Steccata,,"[44.802196, 10.3276443]","Piazzale della Steccata, 1",NON SPECIFICATA,NON SPECIFICATA,,
11587,IT-PR0161,Biblioteca comunale,Comune di Sorbolo,"[44.8466833, 10.4460392]",Via Gruppini 4,Comune,Pubblica,,False
11588,IT-PR0162,Biblioteca comunale Giovannino Guareschi,Comune di San Secondo Parmense,"[44.9202927, 10.2266965]",Piazza Mazzini 12,Comune,Pubblica,,False
11589,IT-PR0163,Biblioteca comunale,Comune di Pellegrino Parmense,"[44.7343068, 9.9251956]",Viale Matteotti,Comune,Pubblica,,False
11590,IT-PR0164,Casa della musica. Archivio storico del Teatro Regio. Sezione storica,Comune di Parma,"[44.80503, 10.333026]",Piazza S. Francesco 1,Comune,Specializzata,,False
11591,IT-PR0165,Biblioteca comunale Fulvio Provasi di Mezzano Inferiore,Comune di Mezzani,"[44.9054695, 10.467611]",Via Martiri della libertà 32,Comune,Pubblica,,False
11592,IT-PR0166,Biblioteca comunale S. Pertini,Comune di Medesano,"[44.755152, 10.135745]",Via Salvetat 6,Comune,Pubblica,,False
11593,IT-PR0167,Biblioteca comunale per bambini Opplà,Comune di Fornovo di Taro,"[44.6896383, 10.0988625]",Piazza Libertà 6,Comune,Pubblica,,False
11594,IT-PR0169,Biblioteca Socio-pedagogica,Università degli studi di Parma,"[44.8039606, 10.3350047]",Borgo Carissimi 10,Universita' statali,Istituto di insegnamento superiore,True,False
11595,IT-PR0170,Servizio biblioteca di filosofia dell'Università degli studi di Parma,Università degli studi di Parma,"[44.8039606, 10.3350047]",,Universita' statali,Istituto di insegnamento superiore,,
11596,IT-PR0171,Biblioteca di Lingue e letterature straniere Pier Giorgio Negro dell'Università degli studi di Parma,Università degli studi di Parma,"[44.7986018, 10.3374361]",Viale S. Michele 9,Universita' statali,Istituto di insegnamento superiore,True,False
11597,IT-PR0172,Servizio biblioteca di scienze della terra dell'Università degli studi di Parma,Università degli studi di Parma,"[44.7638988, 10.3133736]",Viale delle Scienze 157A,Universita' statali,Istituto di insegnamento superiore,,False
11598,IT-PR0173,Servizio biblioteca di storia dell'Università degli studi di Parma,Università degli studi di Parma,"[44.8038975, 10.3160465]",,Universita' statali,Istituto di insegnamento superiore,,
11599,IT-PR0174,Biblioteca delle arti e dello spettacolo,Università degli studi di Parma. Dipartimento dei beni culturali e dello spettacolo,"[44.8057416, 10.3277859]",Via Bodoni 8,Universita' statali,Istituto di insegnamento superiore,True,False
11600,IT-PR0175,Servizio biblioteca di scienze ambientali dell'Università degli studi di Parma,Università degli studi di Parma,"[44.7657551, 10.3189031]",Viale delle Scienze 33/a,Universita' statali,Istituto di insegnamento superiore,,False
11601,IT-PR0176,Servizio biblioteca di chimica dell'Università degli studi di Parma,Università degli studi di Parma,"[44.7638988, 10.3133736]",Viale delle Scienze 17A,Universita' statali,Istituto di insegnamento superiore,,False
11602,IT-PR0177,Biblioteca Palatina. Museo bodoniano,Ministero dei beni e delle attività culturali e del turismo,"[44.804875, 10.325797]",Strada alla Pilotta 3,Direzione Generale Biblioteche e Istituti Culturali,Specializzata,,False
11603,IT-PR0178,Biblioteca dell'Associazione italiana maestri cattolici Carmela Dagnino,Associazione italiana maestri cattolici. Sezione di Parma,"[44.8036732, 10.3304636]",Piazza Duomo 3,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11604,IT-PR0179,Biblioteca dell'Istituto di pedagogia del Plesso Carissimi della Facoltà di lettere e filosofia dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di lettere e filosofia. Istituto di pedagogia,"[44.8039606, 10.3350047]",Borgo Carissimi 10,Universita' statali,Istituto di insegnamento superiore,,False
11605,IT-PR0180,Biblioteca di Psicologia,Università degli studi di Parma. Facoltà di psicologia,"[44.8039606, 10.3350047]",Borgo Carissimi 10,Universita' statali,Istituto di insegnamento superiore,,False
11606,IT-PR0181,Biblioteca dell'Istituto di scienze geografiche del Plesso Carissimi della Facoltà di lettere e filosofia dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di lettere e filosofia. Istituto di scienze geografiche,"[44.8039606, 10.3350047]",,Universita' statali,Istituto di insegnamento superiore,,
11607,IT-PR0182,Biblioteca dell'Istituto di sociologia del Plesso Carissimi della Facoltà di lettere e filosofia dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di lettere e filosofia. Istituto di sociologia,"[44.8039606, 10.3350047]",,Universita' statali,Istituto di insegnamento superiore,,
11608,IT-PR0183,Biblioteca del Dipartimento dei beni culturali e dello spettacolo. Sezione di beni librari dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento dei beni culturali e dello spettacolo,"[44.8038975, 10.3160465]",,Universita' statali,Istituto di insegnamento superiore,,
11609,IT-PR0184,Biblioteca dell'Istituto di filologia moderna della Facoltà di lettere e filosofia dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di lettere e filosofia. Istituto di filologia moderna,"[44.8038975, 10.3160465]",,Universita' statali,Istituto di insegnamento superiore,,
11610,IT-PR0185,"Biblioteca del Dipartimento di Antichistica, Lingue, Educazione, Filosofia - A.L.E.F - Sezione di Musicologia dell'Università degli studi di Parma","Università degli studi di Parma. Dipartimento di Antichistica, Lingue, Educazione, Filosofia ","[44.80503, 10.333026]",Piazza S. Francesco 1,Universita' statali,Istituto di insegnamento superiore,,False
11611,IT-PR0186,Biblioteca del Dipartimento di filologia classica e medievale dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di filologia classica e medievale,"[44.8038975, 10.3160465]",,Universita' statali,Istituto di insegnamento superiore,,
11612,IT-PR0187,Biblioteca del Dipartimento di studi giuridici e sociali. Area diritto del lavoro dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di studi giuridici e sociali,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11613,IT-PR0188,"Biblioteca del Dipartimento di diritto, economia e finanza internazionale. Area diritto internazionale dell'Università degli studi di Parma","Università degli studi di Parma. Dipartimento di diritto, economia e finanza internazionale","[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11614,IT-PR0189,Biblioteca del Dipartimento di scienze giuridiche. Sezione di diritto fallimentare dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di scienze giuridiche,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11615,IT-PR0190,Biblioteca del Dipartimento di scienze penalistiche dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di scienze penalistiche,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11616,IT-PR0191,Biblioteca del Dipartimento di scienze giuridiche. Area diritto privato e diritto processuale civile dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di scienze giuridiche,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11617,IT-PR0193,Biblioteca del Dipartimento di scienze giuridiche. Area diritto romano dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di scienze giuridiche,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11618,IT-PR0194,Biblioteca dell'Istituto di economia e finanza della Facoltà di giurisprudenza dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di giurisprudenza. Istituto di economia e finanza,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11619,IT-PR0195,Biblioteca del Dipartimento di studi giuridici e sociali. Area discipline storiche dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di studi giuridici e sociali,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11620,IT-PR0196,Biblioteca del Dipartimento di studi giuridici e sociali. Area discipline filosofiche dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di studi giuridici e sociali,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,False
11621,IT-PR0197,Biblioteca del Corso di diploma universitario in servizio sociale della Facoltà di giurisprudenza dell'Università degli studi di Parma,Università degli studi di Parma. Facoltà di giurisprudenza. Corso di diploma universitario in servizio sociale,"[44.8012913, 10.3256793]",Via Università 12,Universita' statali,Istituto di insegnamento superiore,,True
11622,IT-PR0198,Biblioteca Umberto Balestrazzi,Comune di Parma,"[44.804112, 10.318023]","Vicolo Santa Maria, 5",Comune,Specializzata,,False
11623,IT-PR0199,Biblioteca del Centro progetto scuola,Comune di Parma. Settore servizi educativi,"[0.0, 0.0]",Via Saffi 8,Comune,Pubblica,,False
11624,IT-PR0200,Videoteca comunale - Centro Cinema Lino Ventura,Comune di Parma,"[44.8031971, 10.3194796]",Via D'Azeglio 45/d,Comune,Specializzata,,False
11625,IT-PR0201,Biblioteca del Museo archeologico nazionale,Ministero dei beni e delle attività culturali e del turismo. Complesso monumentale della Pilotta,"[44.8047884, 10.3260931]",Piazzale della Pilotta 15 ,Direzione generale Musei,Specializzata,,True
11626,IT-PR0202,Biblioteca civica intercomunale Giuseppe Tonna di Sissa - Trecasali,Comune di Sissa e Comune di Trecasali,"[0.0, 0.0]",Via Marconi 3,Comune,Pubblica,,False
11627,IT-PR0203,Biblioteca comunale,Comune di Tizzano Val Parma,"[44.5184039, 10.1995437]",Via A. Moro,Comune,Pubblica,,False
11628,IT-PR0204,Biblioteca dell'Istituto storico della Resistenza e dell'Età contemporanea,Istituto storico della Resistenza e dell'Età contemporanea. Parma,"[0.0, 0.0]",Vicolo delle Asse 5,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11629,IT-PR0205,Biblioteca del Centro italiano di ricerca e di educazione ambientale - CIREA dell'Università degli studi di Parma,Università degli studi di Parma,"[44.8870319, 10.317868]",Via Cavestro 14/a,Universita' statali,Istituto di insegnamento superiore,,False
11630,IT-PR0206,Biblioteca di Alice per ragazzi,Comune di Parma,"[44.8094981, 10.3107719]",Via I. Bocchi 33,Comune,Pubblica,,False
11631,IT-PR0207,Biblioteca del Museo-Casa natale Arturo Toscanini,Comune di Parma,"[0.0, 0.0]",Via Tanzi 13,Comune,Specializzata,,False
11632,IT-PR0208,Biblioteca della Società missionaria di Maria,Saveriane. Casa madre  di Parma,"[44.7876229, 10.3566814]",Via Omero 4,Enti ecclesiastici,Specializzata,,False
11633,IT-PR0209,Biblioteca dell'Istituto religioso Maestre Luigine,Suore Maestre Luigine.  Istituto R. Orzi di Parma,"[44.8004468, 10.3369988]",Borgo Valorio 6,Enti ecclesiastici,Pubblica,,True
11634,IT-PR0210,Biblioteca Agostino Chieppi,Piccole figlie dei Sacri Cuori di Gesù e Maria Casa generalizia di Parma,"[44.802667, 10.33184]",Piazzale S. Giovanni 7,Enti ecclesiastici,Pubblica,,True
11635,IT-PR0211,Casa della musica. Archivio storico del Teatro Regio. Sezione multimediale,Comune di Parma,"[44.80503, 10.333026]",Piazza S. Francesco 1,Comune,Specializzata,,False
11636,IT-PR0212,Biblioteca dell'Azienda USL Bassa Parmense,Azienda USL Bassa Parmense,"[44.9296239, 10.380453]",Via Roma 16,Aziende ed enti del servizio sanitario nazionale,Specializzata,,True
11637,IT-PR0213,Biblioteca scolastica del Liceo scientifico statale Guglielmo Marconi,"Ministero dell'istruzione, dell'università e della ricerca","[44.8007416, 10.3195535]",Via Costituente 2,Presidenza del consiglio dei ministri e ministeri,Scolastica,,True
11638,IT-PR0214,Biblioteca della Scuola media statale Parmigianino,"Ministero dell'istruzione, dell'università e della ricerca","[44.79816, 10.321703]",Piazzale Rondani 1,Presidenza del consiglio dei ministri e ministeri,Scolastica,,True
11639,IT-PR0215,Biblioteca dell'Istituto tecnico industriale statale Leonardo da Vinci,"Ministero dell'istruzione, dell'università e della ricerca","[44.8039972, 10.3473964]",Via Toscana 10,Presidenza del consiglio dei ministri e ministeri,Specializzata,,True
11640,IT-PR0216,Biblioteca dell'Istituto professionale di Stato per l'agricoltura e l'ambiente Stanislao Solari,"Ministero dell'istruzione, dell'università e della ricerca","[44.8661757, 10.0641984]",Via Malpeli 71/a,Presidenza del consiglio dei ministri e ministeri,Scolastica,,False
11641,IT-PR0217,Biblioteca degli Istituti tecnici G.B. Bodoni e F. Bocchialini,"Ministero dell'istruzione, dell'università e della ricerca","[44.8081749, 10.3144421]",Viale Piacenza 14,Presidenza del consiglio dei ministri e ministeri,Scolastica,,True
11642,IT-PR0218,Biblioteca Vilma Preti del Liceo scientifico statale Giacomo Ulivi,"Ministero dell'istruzione, dell'università e della ricerca","[44.7971448, 10.3222248]",Viale Maria Luigia 3,Presidenza del consiglio dei ministri e ministeri,Scolastica,,True
11643,IT-PR0219,Videoteca della Fondazione Medikinale International Parma,Fondazione Medikinale International Parma,"[44.8052059, 10.3097816]",Via Gramsci 14,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
11644,IT-PR0220,Biblioteca del Museo Renato Brozzi,Comune di Traversetolo,"[44.6397437, 10.3817811]",Piazza Vittorio Veneto 30,Comune,Specializzata,,False
11645,IT-PR0221,Biblioteca del Dipartimento dei beni culturali e dello spettacolo. Sezione di beni teatrali dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento dei beni culturali e dello spettacolo,"[44.8029041, 10.3289064]",,Universita' statali,Istituto di insegnamento superiore,,
11646,IT-PR0222,Casa della musica. Centro internazionale di ricerca sui periodici musicali - CIRPeM,Centro internazionale di ricerca sui periodici musicali - CIRPeM,"[44.80503, 10.333026]",Piazza S. Francesco 1,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11647,IT-PR0223,Biblioteca dell'Istituto dei materiali per l'elettronica ed il magnetismo - IMEM del CNR,Consiglio nazionale delle ricerche - CNR,"[44.7638988, 10.3133736]",Viale delle Scienze 37A,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
11648,IT-PR0224,Biblioteca dell'Istituto magistrale statale Albertina Sanvitale,"Ministero dell'istruzione, dell'università e della ricerca","[44.8001463, 10.3355784]",Piazzale San Sepolcro 3,Presidenza del consiglio dei ministri e ministeri,Scolastica,,True
11649,IT-PR0225,"Biblioteca del Centro provinciale di documentazione per l'integrazione scolastica, lavorativa, sociale - CePDI","Centro provinciale di documentazione per l'integrazione scolastica, lavorativa, sociale - CePDI","[44.7915761, 10.3168294]",Via Stirone 4,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11650,IT-PR0226,Biblioteca gastronomica Academia Barilla,,"[44.8013175, 10.3412234]",Viale Barilla 3,NON SPECIFICATA,NON SPECIFICATA,,
11651,IT-PR0227,Biblioteca di Palazzo Bossi Bocchi,,"[44.798463, 10.325795]",Strada al Ponte Caprazucca 4,NON SPECIFICATA,NON SPECIFICATA,,
11652,IT-PR0228,Biblioteca internazionale Ilaria Alpi,Comune di Parma. Istituzione Biblioteche,"[44.8044862, 10.3300214]",Vicolo delle Asse 5,Comune,Pubblica,True,False
11653,IT-PR0229,Biblioteca dell'Istituto tecnico statale ad orientamento speciale Carlo Emilio Gadda ITSOS,"Ministero dell'istruzione, dell'università e della ricerca","[44.6921562, 10.1034263]",Via Nazionale 6,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
11654,IT-PR0230,Biblioteca del Dipartimento di scienze giuridiche dell'Università degli studi di Parma,Università degli studi di Parma. Dipartimento di scienze giuridiche,"[44.8012913, 10.3256793]","Via Università, 12",Universita' statali,Istituto di insegnamento superiore,True,False
11655,IT-PR0231,Biblioteca de L'albero maestro,,"[44.6006576, 10.1217008]","Via G. Mazzini, 1",NON SPECIFICATA,NON SPECIFICATA,,
11656,IT-PR0232,Biblioteca comunale Attilio Bertolucci,,"[44.4139074, 10.1253333]",Piazza Martiri della libertà,NON SPECIFICATA,NON SPECIFICATA,,
11657,IT-PR0233,Archivio della Collegiata di S. Bartolomeo,,"[44.9801561, 10.0419661]",Via Roma,NON SPECIFICATA,NON SPECIFICATA,,
11658,IT-PR0234,Biblioteca Internazionale Ilaria Alpi,,"[0.0, 0.0]","Vicolo delle Asse, 5",NON SPECIFICATA,NON SPECIFICATA,,
11659,IT-PR0235,Biblioteca del Circolo didattico di Fornovo,,"[44.6904202, 10.0993261]","Via Nazionale, 50",NON SPECIFICATA,NON SPECIFICATA,,
11660,IT-PR0236,Biblioteca civica Francesco Zanetti,Comune di Solignano,"[0.0, 0.0]","Via Capoluogo, 7",Comune,Pubblica,,
11661,IT-PR0237,Biblioteca comunale,Comune di Valmozzola,"[44.589003, 9.8350003]","Via Provinciale, 1",Comune,Pubblica,,
11662,IT-PR0238,Biblioteca di Agraria dell'Università degli studi di Parma,Università degli studi di Parma,"[44.7638988, 10.3133736]",,Universita' statali,Istituto di insegnamento superiore,,
11663,IT-PR0239,Biblioteca comunale Monica Porcari,Comune di Polesine Parmense,"[45.0173703, 10.0884629]",Piazza L. Guidotti 1,Comune,Pubblica,,
11664,IT-PR0240,Biblioteca Umanistica dei Paolotti,Università degli studi di Parma,"[44.8038398666074, 10.3162774755325]",Via Massimo D'Azeglio 85,Universita' statali,Istituto di insegnamento superiore,True,False
11665,IT-PR0241,Biblioteca del Centro Studi Movimenti,Centro studi movimenti di Parma,"[44.7807956, 10.3493625]",Via Saragat 33,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,
11666,IT-PR0298,Biblioteca comunale,Comune di Bedonia,"[44.5093012, 9.63269919999993]",Centro civico Peschiera Parco Cattaneo,Comune,Pubblica,,False
11667,IT-PR0300,Centro Documentazione della Via Francigena,Comune di Berceto,"[44.510063, 9.98928999999998]","Via Romea, 5 ",Comune,Pubblica,True,False
11668,IT-PT0002,Biblioteca comunale Angela Marcesini,Comune di Agliana,"[43.9012403400914, 11.0041504614074]",Via Curiel snc,Comune,Pubblica,,False
11669,IT-PT0003,Biblioteca comunale,Comune di Buggiano,"[43.8791014, 10.7300094]",Corso Indipendenza 105,Comune,Pubblica,,False
11670,IT-PT0004,Biblioteca comunale,Comune di Chiesina Uzzanese,"[43.8392062, 10.7259933]",Via Vittorio Veneto 41,Comune,Pubblica,,False
11671,IT-PT0005,Biblioteca comunale Don Siro Butelli,Comune di Lamporecchio,"[43.816852, 10.895901]","Via Della Costituzione,13",Comune,Pubblica,,False
11672,IT-PT0007,Biblioteca comunale,Comune di Larciano,"[43.8216648, 10.8743479]",Via Puccini 115,Comune,Pubblica,,False
11673,IT-PT0008,Biblioteca comunale,Comune di Marliana,"[43.9337158, 10.7694476]","Piazza del Popolo, snc",Comune,Pubblica,,
11674,IT-PT0012,Biblioteca comunale,Comune di Montale,"[43.9221688, 11.0162263]","Via Garibaldi, 2",Comune,Pubblica,,False
11675,IT-PT0014,Biblioteca Collodiana ,Fondazione nazionale Carlo Collodi,"[43.8968705, 10.6544293]",Via B. Pasquinelli 6,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11676,IT-PT0015,Biblioteca comunale Carlo Magnani,Comune di Pescia,"[43.9003487, 10.6864215]",Villa Sismondi ,Comune,Importante non specializzata,,False
11677,IT-PT0016,Biblioteca capitolare,Capitolo della Cattedrale di Pescia,"[43.9011851, 10.6922799]",Via della Cattedrale 1,Enti ecclesiastici,Specializzata,,True
11678,IT-PT0018,Biblioteca comunale,Comune di Pieve a Nievole,"[43.8578355, 10.7858229]",Via G. Marconi 271,Comune,Pubblica,,False
11679,IT-PT0019,Biblioteca Leoniana,Seminairio Vescovile,"[43.931371, 10.91016]","Via Puccini, 36",Enti ecclesiastici,Importante non specializzata,False,False
11680,IT-PT0020,Biblioteca della Società pistoiese di storia patria,Società pistoiese di storia patria,"[43.935037, 10.915257]","via dei Pappagalli, 29","Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11681,IT-PT0021,Biblioteca dell'Archivio di Stato di Pistoia,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Pistoia,"[43.9349982342914, 10.9163367933236]",Piazzetta delle Scuole Normali 2,Direzione generale Archivi,Specializzata,,True
11682,IT-PT0023,Biblioteca medica Mario Romagnoli,Azienda USL 3 di Pistoia,"[43.9350133, 10.9177557]",Piazza Giovanni XXIII,Aziende ed enti del servizio sanitario nazionale,Specializzata,,False
11683,IT-PT0024,Biblioteca dei Domenicani di Pistoia,Provincia Romana di Santa Caterina da Siena - Frati dell'Ordine dei Predicatori (Domenicani),"[43.9305903, 10.9164587]","Piazza San Domenico, 1",Enti ecclesiastici,Specializzata,True,False
11684,IT-PT0025,Biblioteca comunale Forteguerriana,Comune di Pistoia,"[43.9346718, 10.9160282]",Piazza della Sapienza 5,Comune,Pubblica,True,False
11685,IT-PT0026,Biblioteca capitolare Fabroniana,Capitolo della Cattedrale di Pistoia,"[43.9348413, 10.9135393]",Piazzetta San Filippo 1,Enti ecclesiastici,Specializzata,,False
11686,IT-PT0027,Biblioteca comunale,Comune di Ponte Buggianese,"[43.84214, 10.7479399]",Via G. Matteotti 78,Comune,Pubblica,,False
11687,IT-PT0032,Biblioteca comunale,Comune di Serravalle Pistoiese,"[43.8698919, 10.9184666]",Piazza Gramsci 10,Comune,Pubblica,,False
11688,IT-PT0034,Biblioteca comunale Giuseppe Giusti,Comune di Monsummano Terme,"[0.0, 0.0]","Piazza Martini, 10",Comune,Pubblica,,False
11689,IT-PT0035,Biblioteca comunale,Comune di Montecatini Terme,"[43.885723, 10.762843]",Via Provinciale Lucchese 41/43,Comune,Importante non specializzata,,False
11690,IT-PT0036,Biblioteca multimediale di Quarrata,Comune di Quarrata,"[43.8534771, 10.9580947]",Piazza Agenore Fabbri,Comune,Pubblica,,False
11691,IT-PT0037,Biblioteca comunale Paolo Bellucci,Comune di San Marcello Pistoiese,"[44.0378264, 10.856109]",Piazza Matteotti 159,Comune,Pubblica,,False
11692,IT-PT0038,Biblioteca comunale Giuseppe Lipparini,Comune di Cutigliano,"[44.1017515, 10.753079]",Viale Alighieri,Comune,Pubblica,,False
11693,IT-PT0040,Biblioteca comunale Forteguerriana. Sezione staccata di Pracchia,Comune di Pistoia,"[44.0605746, 10.9147683]",Via Nazionale 165,Comune,NON SPECIFICATA,,
11694,IT-PT0041,Biblioteca del Centro di documentazione,Comune di Pistoia,"[43.9274671, 10.9103713]",Via Pertini s.n.c.,Comune,Specializzata,,False
11695,IT-PT0043,Biblioteca comunale Carlo Magnani. Sala di lettura Franca Ruffatti del Museo civico di scienze naturali ed archeologia della Valdinievole,Comune di Pescia,"[43.8985115, 10.6872334]",Piazza Leonardo da Vinci 1,Comune,Specializzata,,False
11696,IT-PT0044,Biblioteca dell'Archivio di Stato di Pistoia. Sezione staccata di Pescia,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Pistoia. Sezione staccata di Pescia,"[43.9008731949349, 10.6889031067459]",Piazza XX Settembre 3,Direzione generale Archivi,Specializzata,,True
11697,IT-PT0045,Biblioteca comunale. Sezione staccata di Masotti,Comune di Serravalle Pistoiese,"[43.9175566, 10.8775655]",Via Provinciale Lucchese,Comune,Pubblica,,False
11698,IT-PT0046,Biblioteca francescana,Frati minori OFM. Convento S. Lodovico di Castellare di Pescia,"[43.8897669, 10.6858665]",Via di Colleviti 23,Enti ecclesiastici,Specializzata,,False
11699,IT-PT0047,Biblioteca del Centro di studi Beatrice di Pian degli Ontani,Centro di studi Beatrice di Pian degli Ontani,"[44.1026471, 10.7245474]",Piazza Acerone 15,"Accademie, associazioni, fondazioni, istituti (pubblici)",Pubblica,,False
11700,IT-PT0052,Biblioteca dell'Istituto storico provinciale della Resistenza,Istituto storico provinciale della Resistenza di Pistoia,"[0.0, 0.0]",Piazza S. Leone 1,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11701,IT-PT0053,Biblioteca del Convento dei frati minori,Frati minori OFM. Convento di Giaccherino in Pontelungo di Pistoia,"[43.9379491, 10.766163]",,Enti ecclesiastici,Specializzata,,True
11702,IT-PT0054,Biblioteca del Convento dell'Ospizio. Commissariato di Terrasanta,Frati minori OFM. Commissariato di Terrasanta in Pistoia,"[43.9322016, 10.9140949]",Via dell'Ospizio 15,Enti ecclesiastici,Specializzata,,True
11703,IT-PT0055,Biblioteca dell'Archivio capitolare,Capitolo della Cattedrale di Pistoia,"[43.9332048, 10.9182148]",Via Sozomeno 3,Enti ecclesiastici,Specializzata,,False
11704,IT-PT0056,Biblioteca comunale Forteguerriana. Sezione ragazzi,Comune di Pistoia,"[43.9346188, 10.9159804]",Piazza della Sapienza 12,Comune,Pubblica,,False
