,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
13601,IT-RM1264,Biblioteca del Museo storico dei bersaglieri,Ministero della difesa. Museo storico dei bersaglieri,"[41.908665, 12.50035]",Piazzale Porta Pia - Via XX settembre,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
13602,IT-RM1265,Biblioteca del Museo storico dei granatieri di Sardegna,Ministero della difesa. Museo storico dei granatieri di Sardegna,"[41.8889588, 12.5143223]",Piazza S. Croce in Gerusalemme 7,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
13603,IT-RM1266,Biblioteca Luigia Tincani,Unione Santa Caterina da Siena delle Missionarie della Scuola,"[41.847448, 12.525602]","via Appia Antica, 226",Enti ecclesiastici,Importante non specializzata,True,False
13604,IT-RM1267,Biblioteca del Museo storico della fanteria,Ministero della difesa. Museo storico della fanteria,"[41.8886708, 12.5145557]",Piazza S. Croce in Gerusalemme,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
13605,IT-RM1268,Biblioteca del Dipartimento di medicina sperimentale e patologia. Sezione anatomia patologica dell'Università degli studi di Roma La Sapienza,Università degli studi di Roma La Sapienza. Dipartimento di medicina sperimentale e patologia,"[41.9043102, 12.5174938]",Viale Regina Elena 324,Universita' statali,Istituto di insegnamento superiore,,False
13606,IT-RM1269,Biblioteca della Fondazione per la documentazione e la storia dell'esperienza religiosa,Fondazione per la documentazione e la storia dell'esperienza religiosa,"[41.887764, 12.458408]",Via delle fornaci 439,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
13607,IT-RM1270,Biblioteca e Archivio dell'Associazione don Giuseppe De Luca,Associazione don Giuseppe De Luca,"[41.900649, 12.4708737]",Via Lancellotti 18,"Accademie, associazioni, fondazioni, istituti (pubblici)",NON SPECIFICATA,,
13608,IT-RM1271,Biblioteca del Dipartimento per il coordinamento delle politiche dell'Unione europea della Presidenza del consiglio dei ministri,Presidenza del consiglio dei ministri. Dipartimento per il coordinamento delle politiche dell'Unione europea,"[41.902709, 12.4791155]",Via del Giardino Theodoli 66,Presidenza del consiglio dei ministri e ministeri,Specializzata,,True
13609,IT-RM1272,Biblioteca archivio del Centro di documentazione Umberto Nobile,Ministero della difesa. Stato maggiore dell'aeronautica. Centro di documentazione Umberto Nobile,"[42.0775, 12.2075185]",Aeroporto Vigna di Valle,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
13610,IT-RM1273,Biblioteca del Centro studi dello spettacolo Giancarlo Sbragia,Centro studi dello spettacolo Giancarlo Sbragia,"[41.9076609, 12.5216957]",Via G. Della Bella 45,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13611,IT-RM1274,Biblioteca Riccardo Lombardi della Scuola superiore dell'amministrazione dell'interno,Ministero dell'interno. Scuola superiore dell'amministrazione dell'interno,"[41.9884661, 12.444509]",Via Veientana 386,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
13612,IT-RM1275,Biblioteca del Centro studi impianti sportivi,Comitato olimpico nazionale italiano,"[41.9312177, 12.4571542]",Via L. Franchetti 2,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
13613,IT-RM1276,Biblioteca ecumenica del Centro Pro Unione,Francescani dell'Atonement.,"[41.8989159, 12.4723171]",Via S. Maria dell'anima 30,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13614,IT-RM1277,Biblioteca dell'Istituto ricerca educativa - IRRE. Lazio,Istituto regionale ricerca educativa - IRRE. Lazio,"[41.8649563, 12.4804774]",Via Ostiense 131 L,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
13615,IT-RM1278,Biblioteca Il ponte - UCSEI,Centro di documentazione Il ponte,"[41.8923102, 12.4723908]",Via del Conservatorio 1,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13616,IT-RM1279,"Biblioteca di area delle arti. Sezione Architettura ""Enrico Mattiello"". Università degli studi Roma Tre",Università degli studi di Roma Tre. Area di architettura,"[41.8944743, 12.4904014]","Largo Giovanni Battista Marzi, 10",Universita' statali,Istituto di insegnamento superiore,True,False
13617,IT-RM1280,Biblioteca dell'Accademia Il tetradramma,Accademia Il tetradramma,"[41.896479, 12.485543]",Via IV novembre 152,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,True
13618,IT-RM1281,Biblioteca del Dipartimento di scienze dell'informazione dell'Università degli studi di Roma La Sapienza,Università degli studi di Roma La Sapienza. Dipartimento di scienze dell'informazione,"[41.9143672, 12.4973084]",Via Salaria 113,Universita' statali,Istituto di insegnamento superiore,,True
13619,IT-RM1282,Biblioteca del Dipartimento di ingegneria nucleare e conversioni di energia dell'Università degli studi di Roma La Sapienza,Università degli studi di Roma La Sapienza. Dipartimento di ingegneria nucleare e conversioni di energia,"[41.8938233, 12.4922461]",Piazza S. Pietro in Vincoli 10,Universita' statali,Istituto di insegnamento superiore,,True
13620,IT-RM1283,Biblioteca dell'Archivio disarmo,Archivio disarmo. Centro di documentazione e di studi sulla pace e sul controllo degli armamenti,"[41.9054932, 12.4686585]",Piazza Cavour 17,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13621,IT-RM1284,Biblioteca del Dipartimento di meccanica e aeronautica. Sezione meccanica applicata alle macchine dell'Università degli studi di Roma La Sapienza,,"[41.89312, 12.4928853]",Via Eudossiana 18,NON SPECIFICATA,NON SPECIFICATA,,False
13622,IT-RM1285,Biblioteca dell'Autorità garante della concorrenza e del mercato,Autorità garante della concorrenza e del mercato,"[41.9061598, 12.4884827]",Via Liguria 26,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
13623,IT-RM1286,Biblioteca del Centro superiore ricerche e prove autoveicoli e dispositivi del Ministero dei trasporti e della navigazione,Ministero dei trasporti e della navigazione,"[41.9678616, 12.5455283]","Via di Settebagni, 333",NON SPECIFICATA,NON SPECIFICATA,,
13624,IT-RM1287,Biblioteca dell'Istituto di analisi dei sistemi ed informatica del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di analisi dei sitemi ed infomatica,"[41.89035, 12.5061547]",Viale A. Manzoni 30,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
13625,IT-RM1288,Biblioteca della Curia generalizia dei marianisti,Marianisti. Curia generalizia,"[41.8751166, 12.5051528]",Via Latina 22,Enti ecclesiastici,Specializzata,,False
13626,IT-RM1289,Biblioteca dell'Istituto di chimica nucleare. del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di chimica nucleare,"[42.1354, 12.73812]","Via Salaria Km 29,300",Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
13627,IT-RM1290,Biblioteca della Banca di Roma,Banca di Roma,"[41.8998873, 12.4813288]",Via M. Minghetti 17,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
13628,IT-RM1291,Biblioteca della Federazione italiana delle casse rurali ed artigiane,Federazione italiana delle casse rurali ed artigiane,"[41.8998518, 12.49736]",Via M. D'Azeglio 33,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
13629,IT-RM1292,Centro bibliografico del Dipartimento di studi americani. Università degli studi di Roma Tre,Università degli studi di Roma Tre. Dipartimento di studi americani,"[41.9027527, 12.4965147]",Piazza della Repubblica 10,Universita' statali,Istituto di insegnamento superiore,,
13630,IT-RM1293,Biblioteca dell'Istituto di neurobiologia del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di neurobiologia,"[41.9357428, 12.5547469]",Viale K. Marx 15,NON SPECIFICATA,NON SPECIFICATA,,
13631,IT-RM1294,Biblioteca del Museo civico archeologico,Comune di Albano,"[41.725169, 12.664475]",Via Risorgimento 3,Comune,Specializzata,,False
13632,IT-RM1295,"Biblioteca ""Gen.C.A. Michele Mola"" della Scuola di Polizia Economico-Finanziaria - Guardia di Finanza",Ministero dell'Economia e delle Finanze. Scuola di Polizia Economico-Finanziaria - Guardia di Finanza,"[41.7301493, 12.2946917]",Via delle Fiamme Gialle 14/16,NON SPECIFICATA,Specializzata,,True
13633,IT-RM1296,Biblioteca del Dipartimento delle dogane e imposte indirette del Ministero dell'economia e delle finanze,Ministero dell'economia e delle finanze. Dipartimento delle dogane e imposte indirette,"[41.9281564, 12.4885037]",Via M. Caroncini 71,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
13634,IT-RM1297,"Biblioteca comunale ""Cesare De Sanctis"" - Sede centrale",Comune di Albano Laziale,"[41.7267070988643, 12.6617716650818]",Viale Risorgimento 3,Comune,Pubblica,,False
13635,IT-RM1298,Centro documentazione interculturale del Centro informazione e educazione allo sviluppo - CIES,Centro di informazione ed educazione allo sviluppo - CIES,"[41.8925517, 12.490635]",Via delle Carine 4,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
13636,IT-RM1299,Biblioteca dell'Area della ricerca di Roma Montelibretti del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Area della ricerca di Roma Montelibretti,"[42.1354, 12.73812]","Via Salaria Km. 29,300",Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,False
