codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-FI0486;Biblioteca della Fondazione Bassi Montanelli;Fondazione Bassi Montanelli;Via G. di San Giorgio 2;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;191;43,7298636;10,8073806
IT-FI0496;Biblioteca del Centro studi pedagogici Ernesto Codignola;Centro studi pedagogici Ernesto Codignola;Via Pacinotti;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;192;43,7492172;11,1849199
IT-FI0497;Biblioteca del Museo Richard-Ginori della Manifattura di Doccia;Museo Richard-Ginori della Manifattura di Doccia;Viale Pratese 31;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;193;43,839261;11,190482
IT-FI0498;Biblioteca comunale;Comune di Marradi;Via Castelnaudary, 5;Comune;Pubblica;;False;Firenze;194;44,0756656748536;11,6127461018524
IT-FI0499;Biblioteca dell'Istituto antoniano;Rogazionisti. Istituto antoniano di Fiesole;Poggio Gherardo 2;Enti ecclesiastici;Specializzata;;True;Firenze;195;43,7853075;11,3051714
IT-FI0500;Biblioteca delle Officine Galileo;Officine Galileo;Via A. Einstein 35;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;196;43,844013;11,150545
IT-FI0501;BiblioteCaNova Isolotto;Comune di Firenze;Via Chiusi, 4/3 a;Comune;Pubblica;;False;Firenze;197;43,78009927628;11,1965295443054
IT-FI0502;Biblioteca dell'Istituto statale d'arte;Ministero dell'istruzione, dell'università e della ricerca;Piazzale di Porta Romana 9;Presidenza del consiglio dei ministri e ministeri;Specializzata;;False;Firenze;198;43,7603339;11,2423668
IT-FI0505;Biblioteca del Teatro della Pergola - Fondazione Teatro della Toscana;Fondazione Teatro della Toscana;Via della Pergola n. 18 (Portineria);Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;199;43,7733357425727;11,261962285389
IT-FI0506;Biblioteca dell'Associazione cattolica esercenti cinema;Associazione cattolica esercenti cinema. Servizio toscano assistenza sale;Piazza Stazione 2;Enti ecclesiastici;Specializzata;;False;Firenze;200;43,7776146;11,2490022
IT-FI0507;Biblioteca di Settignano;Biblioteca di Settignano;Piazza Tommaseo 14;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;;Firenze;201;43,7827314;11,3217598
IT-FI0509;Biblioteca del Servizio materiale e trazione delle FFSS;Ente ferrovie dello stato. Dipartimento organizzazione;Viale S. Lavagnini 58;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;202;43,7823992;11,254795
IT-FI0517;Biblioteca delle suore Carmelitane di S. Teresa;Carmelitane di S. Teresa di Firenze. Suore. Casa madre in Campibisenzio;Via Torricella 111;Enti ecclesiastici;Pubblica;;;Firenze;203;43,815688;11,1302543
IT-FI0518;Biblioteca dell'Istituto Calasanzio;Scolopi. Istituto Colasanzio di Empoli;Via J. Carrucci 23;Enti ecclesiastici;Pubblica;;True;Firenze;204;43,7198419;10,9511093
IT-FI0519;Biblioteca Convento San Francesco;Provincia toscana di San Francesco Stimmatizzato;Piazza S. Francesco, 10;Enti ecclesiastici;Importante non specializzata;True;False;Firenze;205;43,6181445;11,4732943
