CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat
12671;0;Via Crisanzio, 212;EREDI CASTELLANETA L. VITTORIO;7583340729;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Crisanzio, 212, 70126, BARI;Via Scipione Crisanzio 212, 70123, Bari;16.85894864579645;41.11921655453291
12672;0;Via Francesco Crispi, 99;LOZUPONE VINCENZO;4417560721;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1228094738;16.8541438792;1;Via Francesco Crispi, 99, 70123, BARI;Via Francesco Crispi 99, 70123, Bari;16.854529348317875;41.12300874937963
12673;0;Via Brigata Bari, 126;BALENZANO GAETANO SNC;4367990720;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Brigata Bari, 126, 70126, BARI;Via Brigata Bari 126, 70014, Conversano, Bari;17.16777852892121;40.924412099882396
12674;0;Piazza Giuseppe Massari, 37;DALESSANDRO FRANCESCO;4481400721;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1265739728;16.8661583387;1;Piazza Giuseppe Massari, 37, 70122, BARI;Piazza Giuseppe Massari 37, 70122, Bari;16.8661249782157;41.12728015598131
12675;0;Via Alessandro Manzoni, 55;BELLINI;6971530727;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.037078974;16.9907575479;1;Via Alessandro Manzoni, 55, 70122, BARI;Via Alessandro Manzoni 55, 70122, Bari;16.86092377477061;41.12360438412489
12676;0;P.ZZA EUROPA, 37;DE LEONARDIS MARIA CATER.;7218200728;70132;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1270210552;16.5484024882;1;P.ZZA EUROPA, 37, 70132, BARI;Piazza Europa, 70132, Bari;16.787553750000015;41.12599500000002
12677;0;Via Crisanzio, 13;SCIUGA PIETRO;275050722;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Crisanzio, 13, 70122, BARI;Via Scipione Crisanzio 13, 70122, Bari;16.866215214265114;41.119681452680474
12678;0;Via Palazzo di Citta`, 44;DELLA BASILICA DI BI.FARMA SAS - DR. BIANCO GIOVANNI FRANCESCO & R.;3665630723;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/05/2013;-;Ordinaria;1;41.1291542031;16.8712625725;1;Via Palazzo di Citta`, 44, 70122, BARI;Strada Palazzo di Città 44, 70122, Bari;16.871115844855428;41.12953357146977
12679;0;Via Giulio Petroni, 45/a-b;FANTOZZI DI FANTOZZI EUGENIO & C. SNC;4483620722;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Giulio Petroni, 45/a-b, 70124, BARI;Via Giulio Petroni 45A, 70124, Bari;16.868113874949625;41.111311486785375
12680;0;Via Alessandro Maria Calefati, 123;FAVIA NICOLA;6384850720;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2010;-;Ordinaria;1;41.1234002822;16.8585050984;1;Via Alessandro Maria Calefati, 123, 70122, BARI;Via Alessandro Maria Calefati 123, 70122, Bari;16.866385575076464;41.123846503750904
12681;0;Via Di Cillo, 6;MENNUNI VITO EMANUELE;6086650725;70131;72006;BARI;CARBONARA DI BARI;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Di Cillo, 6, 70131, BARI;Via Rocco Dicillo 6, 70131, Bari;16.859518428876928;41.07353452510254
12682;0;Corso Sidney Sonnino, 120;CAPOCHIANI UGO;5789980728;70122;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1194910356;16.8818098175;1;Corso Sidney Sonnino, 120, 70122, BARI;Corso Sidney Sonnino 120, 70121, Bari;16.883397602140906;41.118876439638726
12683;0;Via Abate Gimma, 48;MOSTARDA VINCENZA;279170724;70121;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/10/2010;-;Ordinaria;1;41.1246507;16.8702105;1;Via Abate Gimma, 48, 70121, BARI;Via Abate Giacinto Gimma 48, 70121, Bari;16.870140366639728;41.124644591176626
