route_id;route_type;stop_id;stop_name;stop_desc;Lat;Long;wheelchair_boarding;IDquartiere;SEZ2011;stopCode
3165E;3;2597;VERONESE;V.STAMPINI / V.VERONESE;45.110859999999995;7.663460000000001;2;16;12720001905;2597_3165E
69U;3;2597;VERONESE;V.STAMPINI / V.VERONESE;45.110859999999995;7.663460000000001;2;16;12720001905;2597_69U
3165E;3;18300;TORINO (AUTOSTAZIONE BOLZANO ST. 7);;45.07275;7.667789999999999;0;1;12720003152;18300_3165E
3165E;3;24368;BORGARO (STR. AREOPORTO/STR. FRANCESE);Via Lanzo 431;45.13394;7.65635;2;16;12720002538;24368_3165E
3329E;3;24368;BORGARO (STR. AREOPORTO/STR. FRANCESE);Via Lanzo 431;45.13394;7.65635;2;16;12720002538;24368_3329E
3165E;3;2596;VERONESE;STR DELL'AEROPORTO N.9;45.11185;7.66323;1;16;12720002436;2596_3165E
3329E;3;2596;VERONESE;STR DELL'AEROPORTO N.9;45.11185;7.66323;1;16;12720002436;2596_3329E
69U;3;2596;VERONESE;STR DELL'AEROPORTO N.9;45.11185;7.66323;1;16;12720002436;2596_69U
3165E;3;28300;TORINO (AUTOSTAZIONE BOLZANO ST. 14);;45.07282;7.667560000000001;0;1;12720003152;28300_3165E
32U;3;1842;CIRENE;V.P.COSSA DOPO P.CIRENE;45.096340000000005;7.633780000000001;1;15;12720002425;1842_32U
62U;3;1842;CIRENE;V.P.COSSA DOPO P.CIRENE;45.096340000000005;7.633780000000001;1;15;12720002425;1842_62U
VE1U;3;1842;CIRENE;V.P.COSSA DOPO P.CIRENE;45.096340000000005;7.633780000000001;1;15;12720002425;1842_VE1U
32U;3;2622;CIRENE OVEST;V.PIANEZZA / V.P.COSSA;45.097590000000004;7.63267;1;15;12720002425;2622_32U
59U;3;2622;CIRENE OVEST;V.PIANEZZA / V.P.COSSA;45.097590000000004;7.63267;1;15;12720002425;2622_59U
59BU;3;2622;CIRENE OVEST;V.PIANEZZA / V.P.COSSA;45.097590000000004;7.63267;1;15;12720002425;2622_59BU
32U;3;2624;PELLERINA;C.REGINA MARGHERITA FRONTE N.400;45.08988;7.64354;1;15;12720001994;2624_32U
32U;3;2626;LECCE;C.REGINA MARGHERITA / C.LECCE;45.087109999999996;7.650339999999999;1;14;12720001310;2626_32U
32U;3;2729;TASSONI;C.TASSONI N.77;45.08508;7.6555100000000005;1;6;12720001247;2729_32U
32U;3;2730;PRIMULE SUD;V.PIANEZZA N. 289;45.098209999999995;7.628360000000001;1;15;12720002425;2730_32U
59U;3;2730;PRIMULE SUD;V.PIANEZZA N. 289;45.098209999999995;7.628360000000001;1;15;12720002425;2730_59U
59BU;3;2730;PRIMULE SUD;V.PIANEZZA N. 289;45.098209999999995;7.628360000000001;1;15;12720002425;2730_59BU
32U;3;1095;VIGILI DEL FUOCO;C.REGINA MARGHERITA 330/B (VIGILI DEL FUOCO);45.08855;7.64885;1;14;12720003277;1095_32U
32U;3;1841;CIRENE;V. PIETRO COSSA PRIMA DI V. PIANEZZA;45.09669;7.63433;1;15;12720003838;1841_32U
62U;3;1841;CIRENE;V. PIETRO COSSA PRIMA DI V. PIANEZZA;45.09669;7.63433;1;15;12720003838;1841_62U
VE1U;3;1841;CIRENE;V. PIETRO COSSA PRIMA DI V. PIANEZZA;45.09669;7.63433;1;15;12720003838;1841_VE1U
32U;3;2625;APPIO CLAUDIO;C.LECCE DOPO C,APPIO CLAUDIO;45.08526;7.650510000000001;1;6;12720001248;2625_32U
32U;3;2627;PELLERINA;C.REGINA MARGHERITA STABILIM. AST;45.09055;7.64198;2;15;12720001993;2627_32U
32U;3;2629;CIRENE OVEST;P.ZA CIRENE DOPO V. SANSOVINO;45.09766;7.63287;1;15;12720003022;2629_32U
59U;3;2629;CIRENE OVEST;P.ZA CIRENE DOPO V. SANSOVINO;45.09766;7.63287;1;15;12720003022;2629_59U
59BU;3;2629;CIRENE OVEST;P.ZA CIRENE DOPO V. SANSOVINO;45.09766;7.63287;1;15;12720003022;2629_59BU
32U;3;2731;PRIMULE SUD;V.PIANEZZA N.272/A;45.09841;7.627999999999999;1;15;12720003022;2731_32U
59U;3;2731;PRIMULE SUD;V.PIANEZZA N.272/A;45.09841;7.627999999999999;1;15;12720003022;2731_59U
59BU;3;2731;PRIMULE SUD;V.PIANEZZA N.272/A;45.09841;7.627999999999999;1;15;12720003022;2731_59BU
32U;3;2733;REGINA MARGHERITA EST;STR.PIANEZZA DOPO INT. 300;45.09921;7.62228;2;15;12720003023;2733_32U
33U;3;1415;VITTORIO EMANUELE II;CORSO VITTORIO E. II./VIA RATTAZZI;45.06221;7.68135;2;1;12720000151;1415_33U
33U;3;857;VANDALINO;V.GERMONIO / V.VANDALINO;45.07185;7.61103;1;13;12720003649;857_33U
33U;3;859;ERITREA;V.ASIAGO N.41;45.06993;7.61286;1;13;12720003825;859_33U
33U;3;861;DE SANCTIS;V.ASIAGO / V DE SANCTIS;45.07012;7.6173399999999996;1;13;12720003515;861_33U
33U;3;863;FIDIA;V.FIDIA N.33;45.0713;7.62137;1;13;12720002075;863_33U
VE1U;3;863;FIDIA;V.FIDIA N.33;45.0713;7.62137;1;13;12720002075;863_VE1U
33U;3;865;BRUNELLESCHI;V.BARDONECCHIA N.181;45.07193;7.62448;1;13;12720002076;865_33U
42U;3;865;BRUNELLESCHI;V.BARDONECCHIA N.181;45.07193;7.62448;1;13;12720002076;865_42U
33U;3;867;MARSIGLI;V.BARDONECCHIA / C.PESCHIERA;45.07204;7.6288800000000005;1;13;12720003424;867_33U
42U;3;867;MARSIGLI;V.BARDONECCHIA / C.PESCHIERA;45.07204;7.6288800000000005;1;13;12720003424;867_42U
33U;3;869;MONTE CUCCO;C.PESCHIERA / C.MONTECUCCO;45.07101;7.63288;1;13;12720002084;869_33U
42U;3;869;MONTE CUCCO;C.PESCHIERA / C.MONTECUCCO;45.07101;7.63288;1;13;12720002084;869_42U
33U;3;871;TRAPANI;C.PESCHIERA / C.TRAPANI;45.069179999999996;7.6376;1;13;12720002879;871_33U
42U;3;871;TRAPANI;C.PESCHIERA / C.TRAPANI;45.069179999999996;7.6376;1;13;12720002879;871_42U
33U;3;877;SABOTINO OVEST;C.PESCHIERA / P.SABOTINO;45.06519;7.64807;1;4;12720001485;877_33U
42U;3;877;SABOTINO OVEST;C.PESCHIERA / P.SABOTINO;45.06519;7.64807;1;4;12720001485;877_42U
56U;3;877;SABOTINO OVEST;C.PESCHIERA / P.SABOTINO;45.06519;7.64807;1;4;12720001485;877_56U
33U;3;1425;LANZA;V.CRIMEA / C.G.LANZA;45.05539;7.6963;1;22;12720000608;1425_33U
52U;3;1425;LANZA;V.CRIMEA / C.G.LANZA;45.05539;7.6963;1;22;12720000608;1425_52U
