;codici-identificativi.isil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
10248;IT-PA0417;Biblioteca dell'Istituto di medicina infantile della Facoltà di medicina e chirurgia dell'Università degli studi di Palermo;Università degli studi di Palermo;Via A. Giordano, 3;Universita' statali;Istituto di insegnamento superiore;;;38.106073;13.3587501;Palermo
10249;IT-PA0421;Biblioteca dell'Istituto di pediatria della Facoltà di medicina e chirurgia dell'Università degli studi di Palermo;Università degli studi di Palermo. Facoltà di medicina e chirurgia. Istituto di pediatria;Via benedettini 1;Universita' statali;Istituto di insegnamento superiore;;;38.108971;13.3553123;Palermo
10250;IT-PA0458;Biblioteca dell'Istituto di fisiopatologia respiratoria. CNR;;Via Trabucco 180;NON SPECIFICATA;NON SPECIFICATA;;;38.1533215;13.3151881;Palermo
10251;IT-PA0460;Biblioteca dell'Istituto di mineralogia, petrografia e geochimica della Facoltà di scienze matematiche, fisiche e naturali dell'Università di Palermo;Università degli studi di Palermo. Facoltà di scienze matematiche, fisiche e naturali. Istituto di mineralogia, petrografia e geochimica;Via Archirafi 36;Universita' statali;Istituto di insegnamento superiore;;;38.1097142;13.3735114;Palermo
10252;IT-PA0462;Biblioteca dell'Istituto di geochimica dei fluidi. CNR;;Via Archirafi 36;NON SPECIFICATA;NON SPECIFICATA;;;38.1097142;13.3735114;Palermo
10253;IT-PA0463;Biblioteca dell'Istituto per le applicazioni interdisciplinari della fisica. CNR;;Via Archirafi 36;NON SPECIFICATA;NON SPECIFICATA;;;38.1097142;13.3735114;Palermo
10254;IT-PA0467;Biblioteca della Soprintendenza per i beni culturali e ambientali di Palermo. Sezione beni naturali e naturalistici;Regione siciliana;Via Villeareale 40;Regione;Specializzata;;True;38.1227798;13.3553359;Palermo
10255;IT-PA0468;Biblioteca dell'Associazione Imago centro culturale;Associazione Imago centro culturale;Via Costantino 12;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;38.1752495;13.2989366;Palermo
10256;IT-PA0470;Biblioteca del Centro siciliano di documentazione Giuseppe Impastato;Centro siciliano di documentazione Giuseppe Impastato;Via Villa Sperlinga 15;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;38.135154;13.3456684;Palermo
10257;IT-PA0471;Biblioteca delle donne - UDI;Unione donne italiane;Via Lincoln 121;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;38.1121679984869;13.3696384239425;Palermo
10258;IT-PA0472;Biblioteca biomedica della USL 61;Unità sanitaria locale 61;Piazza Salerno 1;Regione;Specializzata;;False;38.1547877;13.3386257;Palermo
10259;IT-PA0473;Biblioteca della Corte dei conti. Sezione siciliana;Corte dei conti;Via Notarbartolo 8;Organi costituzionali;Specializzata;;False;38.1333012;13.3483225;Palermo
10260;IT-PA0474;Biblioteca dell'Istituto tecnico femminile S. Vincenzo;Figlie della Carità di S. Vincenzo de ' Paoli. Istituto tecnico di Palermo;Via Noce 26;Enti ecclesiastici;Pubblica;;False;38.1201573;13.3384784;Palermo
10261;IT-PA0475;Biblioteca dell'Istituto regionale ricerca educativa - IRRE;Istituto regionale ricerca educativa - IRRE. Sicilia;Via Resuttana Colli 360;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;38.152078;13.336304;Palermo
10262;IT-PA0476;Biblioteca del Collegio S. Rocco;Domenicani;Via Maqueda 324;Enti ecclesiastici;Pubblica;;False;38.1189593;13.3592892;Palermo
10263;IT-PA0477;Biblioteca del Collegio universitario femminile Casa Bianca;Domenicane. Unione S. Caterina da Siena delle missionarie della scuola. Centro universitario femminile Casa Bianca di Palermo;Via F. Parlatore 65;Enti ecclesiastici;Pubblica;;False;38.1248905;13.3436643;Palermo
10264;IT-PA0478;Biblioteca dell'Ente servizi sociali C. Vittorelli;Ente servizi sociali - ESIS;Via Palmerino 1;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;38.1007527;13.3378306;Palermo
10265;IT-PA0479;Biblioteca biomedica della USL 60;Unità sanitaria locale 60;Via Trabucco 180;Regione;Specializzata;;False;38.1533215;13.3151881;Palermo
10266;IT-PA0481;Biblioteca comunale;Comune di Blufi;Via del Fervore 1;Comune;Pubblica;;False;37.752225;14.0736784;Palermo
10267;IT-PA0482;Biblioteca comunale;Comune di Camporeale;Atrio Principe, 10;Comune;Pubblica;True;False;37.8977063;13.095844;Palermo
10268;IT-PA0483;Biblioteca del Centro di documentazione per l'educazione ai diritti umani;Amnesty international. Circoscrizione Sicilia;Via M. Rutelli 9;Organizzazioni internazionali;Specializzata;;False;38.1391389;13.347363;Palermo
10269;IT-PA0484;Biblioteca dell'Istituto per sordomuti Padre Annibale Maria di Francia;Padri rogazionisti;Via Castellana 110;Enti ecclesiastici;Pubblica;;True;38.1255882;13.300569;Palermo
10270;IT-PA0485;Biblioteca dell'Istituto Don Bosco;Salesiani. Istituto Don Bosco di Palermo;Via Sampolo 121;Enti ecclesiastici;Specializzata;;True;38.1430003;13.3485285;Palermo
10271;IT-PA0486;Biblioteca del Museo di Palazzo Mirto;Regione siciliana;Via Merlo;Regione;Pubblica;;True;38.1165498;13.3674801;Palermo
10272;IT-PA0487;Biblioteca comunale;Comune di Cerda;Via A. De Gasperi;Comune;Pubblica;;False;37.9080208;13.8125782;Palermo
10273;IT-PA0488;Biblioteca della Società di storia patria Francesco Rosolino Fazio;Società di storia patria Francesco Rosolino Fazio;Via regina Elena 82;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;37.8060092;13.6398692;Palermo
10274;IT-PA0489;Biblioteca Lorenzo Milani;Centro socio-culturale Ricerca;Via Taormina 6;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;False;37.981382;13.699347;Palermo
10275;IT-PA0490;Biblioteca della Residenza universitaria Segesta;Associazione ARCES;Via G. Daita 11;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;True;38.1258375;13.3558732;Palermo
10276;IT-PA0491;Biblioteca parrocchiale della SS. Trinità;Parrocchia della SS. Trinità;Corso Umberto I  9;Enti ecclesiastici;Pubblica;;False;37.6789084;13.6035121;Palermo
10277;IT-PA0492;Biblioteca del cinema e del teatro;Cooperativa del cinema e del teatro - CLCT;Via F. Lo Jacono 16;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;38.1317692;13.3459294;Palermo
10278;IT-PA0495;Biblioteca Giacomo Cusmano del Centro Studi e animazione cusmaniana;Congregazione delle Suore Serve dei Poveri;Corso Re Ruggero, 2;Enti ecclesiastici;Importante non specializzata;True;False;38.1077993;13.3550148;Palermo
10279;IT-PA0496;Biblioteca dei linguaggi e della comunicazione;Cooperativa didattica informazione animazione linguaggio - DIAL;Via Lombardia 19;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;38.1415064;13.3399571;Palermo
10280;IT-PA0497;Biblioteca Giuseppe Leggio dell'Associazione per la conservazione delle tradizioni popolari e del Museo internazionale delle marionette;Associazione per la conservazione delle tradizioni popolari;Via Butera 1;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;38.1190724;13.3707621;Palermo
10281;IT-PA0499;Biblioteca parrocchiale S. Ernesto;Parrocchia di S. Ernesto;Via Campolo 9;Enti ecclesiastici;Pubblica;;False;38.1285109;13.3344054;Palermo
10282;IT-PA0500;Biblioteca del Laboratorio chimico compartimentale delle dogane ed imposte dirette;Ministero dell'economia e delle finanze;Via F. Crispi 143;Presidenza del consiglio dei ministri e ministeri;Scolastica;;False;38.1250051;13.3637899;Palermo
10283;IT-PA0502;Biblioteca comunale;Comune di Ficarazzi;Via Vittorio Emanuele Orlando 69;Comune;Pubblica;True;False;38.0899842;13.4666278;Palermo
10284;IT-PA0503;Biblioteca popolare Verjus;Parrocchia di S. Teresa di Gesù Bambino;Via F. Parlatore 67;Enti ecclesiastici;Pubblica;;False;38.1250228;13.3436162;Palermo
10285;IT-PA0504;Biblioteca della Congregazione missionari servi dei poveri;Missionari servi dei poveri. Curia generalizia di Palermo;Via Pindemonte 1/e;Enti ecclesiastici;NON SPECIFICATA;;;38.1076228;13.3405212;Palermo
10286;IT-PA0505;Biblioteca S. Alfonso;Redentoristi. Collegio di Palermo;Viale Michelangelo 1180;Enti ecclesiastici;Pubblica;;True;38.1366048;13.3178153;Palermo
10287;IT-PA0506;Biblioteca del Centro studi e documentazione della Federazione italiana sport disabili;Federazione italiana sport disabili - Comitato regionale della Sicilia;Via Roma 97;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Pubblica;;False;38.1137395;13.3650166;Palermo
10288;IT-PA0507;Biblioteca popolare S. Anna;Parrocchia di S. Anna;Via consolare 97;Enti ecclesiastici;Pubblica;;False;38.0819302;13.5251986;Palermo
10289;IT-PA0508;Biblioteca dell'Associazione storia e ambiente Il Ponte;Associazione storia e ambiente Il Ponte;Via Trovatelli 2;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;False;37.8484364;13.7614504;Palermo
10290;IT-PA0509;Biblioteca comunale Andrea Salamone;Comune di Borgetto;Via Diluvio 9;Comune;Pubblica;;False;38.0474813;13.1435956;Palermo
10291;IT-PA0510;Biblioteca del Centro regionale di documentazione per l'educazione sanitaria - CERDES;Regione siciliana;Via M. Vaccaro 5;Regione;Specializzata;;False;38.1336123;13.3341767;Palermo
10292;IT-PA0511;Biblioteca regionale dei Domenicani;Convento San Domenico;Via Bambinai, 18;Enti ecclesiastici;Specializzata;True;False;38.1195561;13.3640159;Palermo
10293;IT-PA0512;Biblioteca dei Padri cappuccini Fra Gesualdo da Bronte;Frati minori cappuccini. Santuario Maria SS. di Gibilmanna di Cefalu';Via Santuario Maria Santissima;Enti ecclesiastici;Importante non specializzata;;False;38.0394687;14.0220595;Palermo
10294;IT-PA0513;"Biblioteca del Convitto nazionale ""Giovanni Falcone""";"Convitto nazionale ""Giovanni Falcone""";Piazza Sett'Angeli 3;Presidenza del consiglio dei ministri e ministeri;Scolastica;True;True;38.1150146;13.3569083;Palermo
10295;IT-PA0514;Biblioteca comunale;Comune di Cinisi;Piazza Vittorio Emanuele Orlando, 1;Comune;Pubblica;True;False;38.1550684;13.1094804;Palermo
10296;IT-PA0516;Biblioteca dell'Associazione amici opera lirica Ester Mazzoleni;Associazione amici opera lirica Ester Mazzoleni;Piazza Pretoria 2;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;38.1156487;13.3620545;Palermo
10297;IT-PA0517;Biblioteca del Centro ricerche economiche Angelo Curella;Banca popolare S. Angelo;Via Ruggero Settimo 78;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Pubblica;;True;38.1239689;13.3560479;Palermo
10298;IT-PA0518;Biblioteca di Scienze giuridiche e dello sport. Diritto pubblico. Università degli studi di Palermo;Università degli studi di Palermo;Via Maqueda 172  piano 2  primo atrio;Universita' statali;Istituto di insegnamento superiore;;False;38.1152981404793;13.3615946809509;Palermo
10299;IT-PA0519;Biblioteca di Scienze per la promozione della salute. Università degli studi di Palermo;Università degli studi di Palermo;Via del Vespro 133;Universita' statali;Istituto di insegnamento superiore;;False;38.10437;13.36276;Palermo
10300;IT-PA0520;Biblioteca Didattica della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Palermo;Università degli studi di Palermo. Facoltà di scienze matematiche, fisiche e naturali;Via G. Mignosi 75;Universita' statali;Istituto di insegnamento superiore;;;38.1099728;13.3709575;Blufi
10301;IT-PA0521;Biblioteca di Scienze chimico-farmaceutiche. Chimica. Università degli studi di Palermo;Università degli studi di Palermo;Viale delle scienze Ed 17;Universita' statali;Istituto di insegnamento superiore;;False;38.1001608330747;13.3443046894104;Camporeale
10302;IT-PA0522;Biblioteca pubblica provinciale;Provincia regionale di Palermo;Via del bosco;Provincia;Pubblica;;False;38.1120518;13.3623741;Palermo
10303;IT-PA0523;Biblioteca della Soprintendenza per i beni culturali e ambientali di Palermo;Regione siciliana. Soprintendenza per i beni culturali e ambientali di Palermo;Via Siracusa 15;Regione;Specializzata;;True;38.1272132;13.3508928;Palermo
10304;IT-PA0524;Biblioteca dell'Archivio storico della Compagnia di Gesù;;;NON SPECIFICATA;NON SPECIFICATA;;;38.1156193;13.3613758;Palermo
10305;IT-PA0525;Biblioteca della Comunità di vita cristiana;;;NON SPECIFICATA;NON SPECIFICATA;;;38.1156193;13.3613758;Palermo
10306;IT-PA0526;Biblioteca dei Padri cappuccini;;;NON SPECIFICATA;NON SPECIFICATA;;;38.0449581;13.1210865;Cerda
10307;IT-PA0527;Biblioteca dei Padri cappuccini;;Via cappuccini 1;NON SPECIFICATA;NON SPECIFICATA;;;37.934587;13.66386;Roccapalumba
10308;IT-PA0528;Biblioteca dell'Istituto di istologia ed embriologia della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Palermo;Università degli studi di Palermo. Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Palermo;Viale delle scienze;Universita' statali;Istituto di insegnamento superiore;;;38.1051142;13.3501913;Termini Imerese
10309;IT-PA0529;Collezione privata Giuseppina Rubino Grassadonia;;;NON SPECIFICATA;NON SPECIFICATA;;;38.1156193;13.3613758;Palermo
10310;IT-PA0530;Biblioteca privata Roberto Pagano;;;NON SPECIFICATA;NON SPECIFICATA;;;38.1156193;13.3613758;Castronovo di Sicilia
10311;IT-PA0531;Biblioteca privata barone Giuseppe Sgadari Lo Monaco;;;NON SPECIFICATA;NON SPECIFICATA;;;38.1156193;13.3613758;Palermo
10312;IT-PA0532;Archivio musicale del Teatro Massimo;;Piazza Verdi;NON SPECIFICATA;NON SPECIFICATA;;;38.1206002;13.3570823;Palermo
10313;IT-PA0533;Biblioteca dell'Istituto e Orto botanico dell'Università degli studi di Palermo;Università degli studi di Palermo. Istituto e Orto botanico;Via Lincoln, 2A;Presidenza del consiglio dei ministri e ministeri;Specializzata;;;38.1137359;13.3731654;Palermo
10314;IT-PA0534;Archivio di Stato di Palermo;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Palermo;Corso Vittorio Emanuele 31;Direzione generale Archivi;NON SPECIFICATA;;;38.1190564;13.3697322;Palermo
10315;IT-PA0535;Biblioteca del Dipartimento di scienze statistiche e matematiche S. Vianelli dell'Università degli studi di Palermo;Università degli studi di Palermo. Dipartimento di scienze statistiche e matematiche S. Vianelli;Viale delle Scienze;Universita' statali;Istituto di insegnamento superiore;;;38.1051142;13.3501913;Palermo
10316;IT-PA0536;Biblioteca della Libera Università Maria SS. Assunta - LUMSA. Sede distaccata di Palermo;Libera università Maria SS. Assunta;Via F. Parlatore 65;Universita' non statali;Istituto di insegnamento superiore;;;38.1248905;13.3436643;Palermo
10317;IT-PA0537;Biblioteca del Centro servizi per il volontariato di Palermo - CeSVoP;Centro servizi per il volontariato di Palermo - CeSVoP;Via Maqueda 334;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;38.1191684;13.3591566;Ficarazzi
10318;IT-PA0538;Collezione privata Luciano Caponetti;;Via Caselforte 98;NON SPECIFICATA;NON SPECIFICATA;;;38.1866233;13.3235615;Palermo
10319;IT-PA0539;Biblioteca scolastica multimediale Anna Carciola;Ministero dell'istruzione, dell'università e della ricerca;Duca della Verdura 48;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;38.1349301;13.354673;Palermo
10320;IT-PA0540;Biblioteca scolastica F.P. Tesauro;Ministero dell'istruzione, dell'università e della ricerca;Corso Umberto I 695;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;38.0888035;13.4662061;Palermo
10321;IT-PA0541;Biblioteca media statale Luigi Pirandello;Ministero dell'istruzione, dell'università e della ricerca;Cortile Giallombardo;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;38.0881186;13.4615489;Palermo
10322;IT-PA0542;Biblioteca dell'Osservatorio regionale siciliano per l'ambiente - ORSA;Orsa;Viale dell'Olimpo, 30/a;Consorzio e/o associazioni di regioni, provincie, comuni e comunità montane;Specializzata;;False;38.188761;13.305335;Santa Flavia
10323;IT-PA0543;Biblioteca scolastica  dell'Istituto comprensivo Michelangelo Buonarroti;Ministero dell'istruzione, dell'università e della ricerca;Via Tembien, 1;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;38.1246895;13.3083639;Montemaggiore Belsito
10324;IT-PA0544;Biblioteca della scuola media statale Domenico Scinà;Ministero dell'istruzione, dell'università e della ricerca;Via Giuseppe Li Bassi, 60;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;38.1008518;13.3539196;Borgetto
10325;IT-PA0545;Biblioteca scolastica dell'Istituto Tecnico Commerciale e per Geometri Jacopo del Duca;Ministero dell'istruzione, dell'università e della ricerca;Via Pietragrossa, 68/70;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;38.031753;14.0193093;Palermo
10326;IT-PA0546;Biblioteca del Liceo classico Francesco Scaduto;Ministero dell'istruzione, dell'università e della ricerca. Liceo classico Francesco Scaduto;Via Dante 22;Presidenza del consiglio dei ministri e ministeri;Scolastica;;False;38.0840431;13.5022301;Palermo
10327;IT-PA0547;Biblioteca dell'Istituto tecnico industriale Vittorio Emanuele III;;Via Duca della Verdura, 48;NON SPECIFICATA;NON SPECIFICATA;;;38.1349301;13.354673;Cefalù
10328;IT-PA0548;Biblioteca comunale Eduardo Salmeri;Comune di Villabate;Piazza della Regione 12;Comune;Pubblica;True;False;38.0771903;13.443161;Palermo
10329;IT-PA0549;Biblioteca del Centro di studi Pio La Torre;Centro di studi ed iniziative culturali Pio La Torre ONLUS;Via Remo Sandron, 61;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;;38.1323094;13.3560084;Cinisi
10330;IT-PA0550;Biblioteca Nino Muccioli;Panastudio Productions;via Vito La Mantia, 76;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;;38.1208703;13.3463825;Palermo
10331;IT-PA0551;Dipartimento di Beni culturali storico-archeologici Socio-antropologici e geografici dell'Università degli Studi di Palermo;Università degli Studi. Dipartimento di beni culturali storico-archeologici, socio-antropologici e geografici;Viale delle scienze ed. 12;Universita' statali;Istituto di insegnamento superiore;True;False;38.1019076029459;13.3445477485657;Palermo
10332;IT-PA0552;Biblioteca comunale Pino Fortini;Comune di Isola delle Femmine;Via Palermo, 53;Comune;Pubblica;;False;38.1985354;13.2530005;Palermo
10333;IT-PA0553;Biblioteca comunale Felice Genoveffa;Comune di Aliminusa;Via Bevaio Secco;Comune;Pubblica;True;;37.8653968;13.7828201;Palermo
10334;IT-PA0554;Biblioteca della Fondazione Teatro Massimo;Fondazione Teatro Massimo;Piazza Aragonesi;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;True;;38.1183954;13.3566631;Palermo
10335;IT-PA0555;Biblioteca del Liceo Classico Garibaldi;"Ministero dell'istruzione, dell'università e della ricerca. Liceo Classico ""G. Garibaldi""";Via Canonico Rotolo 1;Presidenza del consiglio dei ministri e ministeri;Scolastica;True;False;38.1339274;13.3538684;Palermo
10336;IT-PA0556;Biblioteca del Liceo classico statale Giovanni Meli;Ministero dell'istruzione, dell'università e della ricerca. Liceo classico statale Giovanni Meli;Via Salvatore Aldisio 2;Presidenza del consiglio dei ministri e ministeri;Scolastica;True;False;38.1551954151914;13.3291793050323;Palermo
10337;IT-PA0557;Biblioteca della Cultura Siciliana;Fondazione Ignazio Buttitta;Via Messina 7d;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;38.12681;13.3530516;Palermo
10338;IT-PA0558;Biblioteca dell'Istituto Nazionale di Geofisica e Vulcanologia - INGV;Istituto Nazionale di Geofisica e Vulcanologia  - INGV;Via Ugo La Malfa 153;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;;38.1650737;13.3096808;Palermo
10339;IT-PA0559;Biblioteca del Museo Regionale interdisciplinare di storia naturale e mostra permanente del carretto;Servizio Museo Interdisciplinare regionale di storia naturale e mostra permanente del carretto siciliano di Terrasini;Lungomare Peppino Impastato;Regione;Specializzata;True;;38.1621891;13.0884316;Palermo
10340;IT-PA0560;Biblioteca del Mare;Soprintendenza per i Beni culturali e ambientali del Mare;Via Lungarini 9;Regione;Specializzata;;;38.116487;13.3684447;Partinico
10341;IT-PA0663;Biblioteca Flavio Beninati;Associazione Flavio Beninati;Via Quintino Sella, 35;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;38.1272039;13.3557754999999;Caccamo
10342;IT-PA0664;Biblioteca del Dipartimento regionale della programmazione;Regione siciliana;Piazza Luigi Sturzo, 36;Regione;Importante non specializzata;True;False;38.1263917115421;13.3577546656761;Palermo
10346;IT-PA0669;Biblioteca di Scienze politiche e sociali. Università degli studi di Palermo;Università degli studi di Palermo;Via Ugo Antonio Amico 4;Universita' statali;Istituto di insegnamento superiore;True;False;38.1190436;13.3589859;Palermo
10347;IT-PA0670;Biblioteca di Fisica e chimica. Campus. Università degli studi di Palermo;Università degli studi di Palermo;Viale delle scienze Ed 18;Universita' statali;Istituto di insegnamento superiore;True;False;38.0989788205587;13.3440471973449;Palermo
10349;IT-PA0672;Biblioteca di Architettura. Storia, progetto, design. Università degli studi di Palermo;Università degli studi di Palermo;Viale delle Scienze  Ed 8 piano terra;Universita' statali;Istituto di insegnamento superiore;True;False;38.1050902268343;13.3488235047851;Palermo
10350;IT-PA0673;Biblioteca di Scienze giuridiche e dello sport. Diritto penale. Università degli studi di Palermo;Università degli studi di Palermo;Via Maqueda 172, piano 2 primo atrio;Universita' statali;Istituto di insegnamento superiore;;False;38.1146762;13.3620701;Palermo
10351;IT-PA0674;Biblioteca Suore Collegine;Suore Collegine della Sacra Famiglia;Via Giovanni Evangelista di Blasi, 165;Enti ecclesiastici;Specializzata;True;False;38.12324;13.32104;Palermo
10352;IT-PA0675;Biblioteca Stella Maris dell'Istituto euro-mediterraneo di scienza e tecnologia - I.E.ME.S.T. ;Istituto euro-mediterraneo di scienza e tecnologia - I.E.ME.S.T. ;Via Michele Miraglia 20;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;38.1254315;13.3625058;Palermo
10353;IT-PA0676;Biblioteca Comunale;Comune di Cefalù;Via XXV Novembre 4;Comune;Pubblica;True;False;38.039557;14.021267;Palermo
10354;IT-PA0681;Biblioteca del liceo scientifico Santi Savarino;Ministero dell'istruzione, dell'università e della ricerca. Liceo scientifico Santi Savarino;Via Peppino Impastato (Contrada Turrisi);Presidenza del consiglio dei ministri e ministeri;Scolastica;True;True;38.0353586471429;13.111148324884;Palermo
10355;IT-PA0682;Brass Jazz Library;Fondazione The Brass Group ;Vicolo del Teatro Santa Cecilia;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;38.1137810098097;13.3656954018525;Palermo
10356;IT-PC0001;"Biblioteca comunale ""Guido Magnelli""";Comune di Alseno;Piazza XXV Aprile 1;Comune;Pubblica;;False;44.896342;9.964939;Palermo
10357;IT-PC0002;Biblioteca del Seminario vescovile;;Via Mazzini;NON SPECIFICATA;NON SPECIFICATA;;;44.7687085;9.3821869;Palermo
10358;IT-PC0003;Biblioteca ausiliaria degli Archivi storici diocesani. Sede di Bobbio;Diocesi di Piacenza - Bobbio;Piazza Duomo 3;Enti ecclesiastici;Specializzata;;False;44.7673142;9.3873222;Ficarazzi
10359;IT-PC0004;Biblioteca comunale del Centro culturale polivalente;Comune di Bobbio;Piazzetta Santa Chiara, 11;Comune;Pubblica;;False;44.7665484;9.3865008;Ficarazzi
10360;IT-PC0005;Biblioteca comunale;Comune di Borgonovo Val Tidone;Piazza Garibaldi 2;Comune;Pubblica;True;False;45.017395;9.44564689999993;Palermo
10361;IT-PC0006;Biblioteca comunale di Roveleto;Comune di Cadeo;Via Dante Alighieri 6;Comune;Pubblica;;False;44.9633293;9.853512;Palermo
10362;IT-PC0007;Biblioteca comunale;Comune di Caorso;Piazza della Rocca, 1;Comune;Pubblica;;False;45.0496166;9.87737040000002;Palermo
10363;IT-PC0008;Biblioteca comunale;Comune di Carpaneto Piacentino;Piazza XX Settembre 1;Comune;Pubblica;;False;44.9150175;9.78829919999998;Cefalù
10364;IT-PC0009;Biblioteca comunale Villa Braghieri;Comune di Castel San Giovanni;Via Mulini, 2;Comune;Pubblica;;False;45.0584097092251;9.4439971423584;Bagheria
10365;IT-PC0010;Biblioteca comunale;Comune di Corte Brugnatella;Piazza S. Balletti 2;Comune;Importante non specializzata;;False;44.7123317;9.3799768;Palermo
10366;IT-PC0012;Biblioteca del Convento di S. Francesco dei padri Sacramentini;Sacramentini. Convento di S. Francesco di Cortemaggiore;Via G. Matteotti 27;Enti ecclesiastici;Specializzata;;False;44.9952868;9.9363341;Villabate
10367;IT-PC0013;Biblioteca comunale;Comune di Cortemaggiore;Via Boni Brighenti, 2;Comune;Pubblica;;False;44.9945669858898;9.93076520370482;Palermo
10368;IT-PC0014;Biblioteca comunale Mario Casella;Comune di Fiorenzuola d'Arda;Piazzale San Giovanni, 5;Comune;Pubblica;;False;44.9290136;9.90734670000006;Palermo
10369;IT-PC0015;Biblioteca comunale;Comune di Gossolengo;Via XXV Aprile, 4;Comune;Pubblica;;False;44.9993033;9.61356499999999;Palermo
10370;IT-PC0017;Biblioteca comunale;Comune di Gragnano Trebbiense;Via Roma, 121;Comune;Pubblica;;False;45.0119061;9.56886880000002;Isola delle Femmine
10371;IT-PC0018;Biblioteca comunale;Comune di Lugagnano Val d'Arda;Via Piacenza 24;Comune;Pubblica;;False;44.8229437;9.829816;Aliminusa
10372;IT-PC0019;Biblioteca comunale Don Carlo Zucchi;Comune di Monticelli d'Ongina;Piazza Casali, 13;Comune;Pubblica;;False;45.09136;9.93196699999999;Palermo
10373;IT-PC0021;Biblioteca e Archivio capitolare della Basilica di S. Antonino;Capitolo della Basilica di S. Antonino;Chiostri del Duomo 12;Enti ecclesiastici;Specializzata;;True;45.0495378;9.6974196;Palermo
10374;IT-PC0022;Biblioteca centrale della Facoltà di agraria dell'Università Cattolica del Sacro Cuore di Piacenza;Università Cattolica del Sacro Cuore di Piacenza. Facoltà di agraria;Via Emilia Parmense 84;Universita' non statali;Istituto di insegnamento superiore;;True;45.0254528;9.7437654;Palermo
10375;IT-PC0023;Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA;Camera di commercio, industria, artigianato e agricoltura - CCIAA di Piacenza;Piazza Cavalli 35;Camere di commercio, industria, artigianato;Specializzata;;;45.0524414;9.6933947;Palermo
10376;IT-PC0024;Biblioteca del Convento di S. Maria di Campagna;Frati minori OFM. Convento S. Maria di Campagna di Piacenza;Piazzale Crociate 5;Enti ecclesiastici;Specializzata;;True;45.056855;9.680208;Palermo
10377;IT-PC0025;Biblioteca dell'Ospedale civile Sala Colonne;Azienda USL di Piacenza. Ospedale di Piacenza;Via Taverna 49;Aziende ed enti del servizio sanitario nazionale;Specializzata;;True;45.0540873;9.68343340000001;Terrasini
10378;IT-PC0027;Archivio di Stato di Piacenza - Biblioteca;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Piacenza;Piazza Cittadella 29;Direzione generale Archivi;Specializzata;True;True;45.0554372686344;9.69542953254086;Palermo
10379;IT-PC0028;Biblioteca del Seminario Vescovile;Seminario Vescovile di Piacenza;Via Scalabrini, 65;Enti ecclesiastici;Specializzata;True;False;45.0481972;9.7005861;Palermo
10380;IT-PC0029;Biblioteca dei Cappuccini;;Stradone Farnese 63;NON SPECIFICATA;NON SPECIFICATA;;;45.0466324;9.6994071;Palermo
10381;IT-PC0030;Biblioteca comunale Passerini-Landi;Comune di Piacenza;Via Giosuè Carducci, 14;Comune;Pubblica;True;False;45.0524755;9.6961422;Palermo
