;codici-identificativi.isil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
14178;IT-RO0043;Biblioteca conventuale dei frati Cappuccini;Frati minori Cappuccini. Convento di Rovigo;Via Cappuccini 18;Enti ecclesiastici;Specializzata;;True;45.06667;11.7864677;San Giovanni in Marignano
14179;IT-RO0044;BIBLIOTECA PROVINCIALE DI ROVIGO;PROVINCIA DI ROVIGO;VIA RICCHIERI DETTO CELIO, 10;Provincia;Pubblica;True;False;45.0717416;11.7895932;Rimini
14180;IT-RO0046;Biblioteca dell'Istituto sperimentale per le colture industriali di Bologna. Sezione operativa periferica di Rovigo;Ministero delle politiche agricole e forestali;Viale Amendola 82;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;45.0792114;11.7346933;Rimini
14181;IT-RO0048;Biblioteca dell'Istituto nazionale di previdenza sociale;;Piazza Fratelli Cervi 5;NON SPECIFICATA;NON SPECIFICATA;;;45.0760917;11.786308;Rimini
14182;IT-RO0049;BIBLIOTECA ACCADEMIA DEI CONCORDI;ACCADEMIA DEI CONCORDI;PIAZZA VITTORIO EMANUELE II, 14;Accademie, associazioni, fondazioni, istituti, societa' (privati);Importante non specializzata;True;False;45.0709911;11.7902264;Riccione
14183;IT-RO0050;BIBLIOTECA COMUNALE DI SALARA;COMUNE DI SALARA;VIA ROMA, 133;Comune;Pubblica;True;False;44.9830044;11.4259941;Santarcangelo di Romagna
14184;IT-RO0051;BIBLIOTECA COMUNALE DI SAN BELLINO;COMUNE DI SAN BELLINO;PIAZZA GIOVANNI TASSO, 4;Comune - Istituzione comunale;Pubblica;True;False;45.029194;11.5895583;Rimini
14185;IT-RO0052;Biblioteca comunale Leonino Vinicio Gabaldi ;COMUNE DI STIENTA;VIA MAFFEI, 195;Comune;Pubblica;True;False;44.95512;11.539265;Rimini
14186;IT-RO0053;BIBLIOTECA COMUNALE DI TAGLIO DI PO;COMUNE DI TAGLIO DI PO;VICOLO OROBONI, 7;Comune;Pubblica;False;False;45.0080065;12.2085265;Verucchio
14187;IT-RO0054;BIBLIOTECA COMUNALE DI TRECENTA;COMUNE DI TRECENTA;PIAZZA GIUSEPPE GARIBALDI, 34;Comune;Pubblica;True;False;45.0314957;11.4602967;Rimini
14188;IT-RO0055;BIBLIOTECA COMUNALE DI VILLADOSE 'G.RIZZO';COMUNE DI VILLADOSE;VIA N. PAGANINI, 16;Comune;Pubblica;True;False;45.0971355;12.0213221;Rimini
14189;IT-RO0056;BIBLIOTECA COMUNALE DI VILLANOVA DEL GHEBBO;COMUNE DI VILLANOVA DEL GHEBBO;VIA SABBIONI, 1/A;Comune;Pubblica;False;False;45.0573126;11.6433475;Rimini
14190;IT-RO0057;Biblioteca del Centro etnografico adriese;;Via Marino Marin;NON SPECIFICATA;NON SPECIFICATA;;;45.0535841;12.0537863;Rimini
